"metaphln"	"binsPTR"	"binsRelab"	"Ref_PTR"	"Ref_Relab"
"CSM79HMP"	0.655949491566736	0.62233715894389	0.826302609316412	0.565641404501471	0.647611671741681
"CSM79HMT"	0.656724946934291	0.577598589095855	0.833928498512618	0.602214835111403	0.604901549037362
"CSM79HN2"	0.732241402397271	0.641454001574703	0.813743649713867	0.607464809438416	0.714124256398087
"CSM79HN6"	0.743302391746589	0.664187224587426	0.832526818218128	0.643384119893927	0.688491023083178
"CSM79HNE"	0.855873750059136	0.787570676352667	0.879905842685859	0.731424270103846	0.874760309207422
"CSM79HNI"	0.788650058286785	0.823449123487208	0.875568614396313	0.672648711414363	0.842324453826181
"CSM79HNK"	0.796295654589237	0.811597962908587	0.874803512581482	0.676856337573326	0.829807699363224
"CSM79HNM"	0.817671852298886	0.834724903955326	0.881102402931955	0.66555496622185	0.843768307285042
"CSM79HNO"	0.973352012144708	1	1	0.916741869897102	0.966846842117835
"CSM79HNU"	0.975711853961043	1	1	0.940009099909548	0.983429717954753
"CSM79HNW"	0.972019668055335	1	1	0.931554926493251	0.982056538340704
"CSM79HO1"	0.830501995998465	0.921601693808013	0.972391043045897	0.790385851209714	0.766391604114301
"CSM79HOF"	0.665200822046458	0.560807905858419	0.742891042269283	0.647719195555629	0.622754644664963
"CSM79HOH"	0.670950466581558	0.544867905822972	0.710865564263166	0.549242186311495	0.605529830254618
"CSM79HOJ"	0.731579298313678	0.611126969252878	0.703455647393229	0.54269843711075	0.694556961890793
"CSM79HOL"	0.636532728493011	0.584059272061683	0.738473361018941	0.53744626185923	0.593175390297161
"CSM79HOT"	0.612570109564779	0.573168948009916	0.738709796920711	0.538287724056862	0.591502467247771
"CSM79HOV"	0.661665004190063	0.621434761094861	0.729532238735654	0.623049465871526	0.613573057524562
"CSM79HOX"	0.693849697819535	0.535485827958833	0.805878790882504	0.575984319767947	0.710936834613169
"CSM79HOZ"	0.69897445154542	0.597004611301895	0.832513868160008	0.578646464048061	0.665832996720628
"CSM79HP2"	0.675462266412959	0.55953798042043	0.808895222469426	0.559435297063383	0.681526363459853
"CSM79HP4"	0.670983461455362	0.601033759230385	0.792000955410532	0.58201208752414	0.692516765802069
"CSM79HP6"	0.660764199578664	0.548800751203736	0.758126307020516	0.592385581029393	0.660815659448738
"CSM79HPA"	0.820655060262397	0.829043852367451	0.914118435113036	0.685584499020494	0.779590157519171
"CSM79HPA_TR"	0.834315362465376	0.89975747323688	0.944579609512711	0.696514799431569	0.811796230148591
"CSM79HPC"	0.786173951346178	0.913086266953234	0.952635480831793	0.695002148242173	0.774928651369814
"CSM79HPK"	0.887953104393154	0.793883939986563	0.915804931751416	0.699753570075352	0.908960368489456
"CSM79HPO"	0.844293700217133	0.89862777717052	0.916027710661583	0.883404117392688	0.851204886020993
"CSM79HPS"	0.799961895822727	0.679038483396669	0.848163790233945	0.647618722761617	0.819303032524288
"CSM79HQ9"	0.973613636198004	1	0.996647982030954	0.847384178018238	0.841114136809495
"CSM79HQB"	0.759726675394374	0.765497152163102	0.860430200981	0.626120461029683	0.727664749041924
"CSM79HQF"	0.971562510788242	1	0.99585147263803	0.84082395718687	0.831834592780545
"CSM79HQV"	0.916792937803667	0.877480445498307	0.915117598517221	0.803057220121587	0.829871407874544
"CSM79HQX"	0.901420186344763	0.824516569718565	0.917326406076839	0.806030125667854	0.831196810207714
"CSM79HQZ"	0.834546178607712	0.768536883889958	0.892288550771133	0.765097047050314	0.77831677494811
"CSM79HR2"	0.856867296607549	0.778498627243601	0.884819478789698	0.811340193210218	0.830289713514776
"CSM79HR4"	0.929964424814117	0.880852739065835	0.917194851368001	0.851381796382123	0.842474546304956
"CSM79HR6"	0.835290030572191	0.783387604154957	0.873541841333887	0.85387169510023	0.803385667214829
"CSM79HR8"	0.735374782945828	0.901763996709142	0.892815285616187	0.775269179357146	0.70013083537036
"CSM79HRC"	0.704864981590976	0.589168366003133	0.787655038294797	0.572304900839535	0.653217165363083
