"Species"	"Kruskall_Wallis_P_Value"	"CD_nonIBD_P_Value"	"CD_UC_P_Value"	"UC_nonIBD_P_Value"	"CD_Mean"	"UC_Mean"	"nonIBD_Mean"
"ERS608550_64.hgm"	"0.192284796111589"	"0.71325786956648"	"0.220848383045498"	"0.220848383045498"	"0.0470260369614594"	"0.0618895848912122"	"0.0299630838441665"
"ERS608550_86.hgm"	"0.946710528390084"	"0.948532516850644"	"0.948532516850644"	"0.948532516850644"	"0.0559883131750303"	"0.089805727703455"	"0.16862312602912"
"ERS608606_84.hgm"	"0.494745336155894"	"0.730778432258171"	"0.724532639868548"	"0.76283889495052"	"0.0853642723694612"	"0.100407964834982"	"0.150158146414933"
"ERS631833_15.hgm"	"0.751844673802792"	"0.899119956774097"	"0.899119956774097"	"0.899119956774097"	"0.0499464167218554"	"0.0446157876385246"	"0.108000832059466"
"SRS015663_20.hgm"	"0.860632156412516"	"0.89554770026347"	"0.89554770026347"	"0.89554770026347"	"0.0606571578090355"	"0.0676376486087462"	"0.111755714405082"
"SRS017307_13.hgm"	"0.646963683746065"	"0.664170498768883"	"0.664170498768883"	"0.664170498768883"	"0.986323870269616"	"1.4288827950461"	"1.27966470178018"
"SRS019582_79.hgm"	"0.309017004034996"	"0.765594483995764"	"0.334835304894877"	"0.765594483995764"	"0.0227681920266546"	"0.0155292720624912"	"0.0447180398401043"
"SRS019910_14.hgm"	"0.744330349594701"	"0.729850254039017"	"0.729850254039017"	"0.729850254039017"	"0.111081182434939"	"0.100766516955584"	"0.150090175157926"
"SRS020233_5.hgm"	"0.430073701603421"	"0.629485854316783"	"0.592637377356225"	"0.592637377356225"	"0.084069964886376"	"0.0779800733004849"	"0.178655969419419"
"SRS020328_21.hgm"	"0.0414656036957143"	"0.261457510409279"	"0.0520715442632634"	"0.329859194655477"	"0.0184581571200757"	"0.0327555535578872"	"0.0412367594141823"
"SRS021219_12.hgm"	"0.46287042519711"	"0.776814004155482"	"0.683317640683995"	"0.683317640683995"	"0.0247823577627195"	"0.0504097434992769"	"0.0959486718897579"
"SRS024075_3.hgm"	"0.692500448157376"	"0.868649612930878"	"0.897278961260083"	"0.868649612930878"	"0.0282457669124935"	"0.0251212772738959"	"0.113020607073917"
"SRS049402_2.hgm"	"0.0229918294753855"	"0.15679689240253"	"0.106260718974049"	"0.036483858173433"	"0.0618128317303434"	"0.0295743825346655"	"0.118305249534722"
"SRS050026_15.hgm"	"0.504884471582433"	"0.523540109656474"	"0.937231535857697"	"0.523540109656474"	"0.173349470805444"	"0.166158111888497"	"0.273485962890211"
"SRS050752_17.hgm"	"0.18318450978498"	"0.197381409610003"	"0.869065890488039"	"0.197381409610003"	"0.0420769493121883"	"0.0912348483940337"	"0.145095403083753"
"SRS056519_39.hgm"	"0.1149615108688"	"0.608407800232998"	"0.142039413899214"	"0.142039413899214"	"0.0417565585347753"	"0.0233867803104818"	"0.0538656651361583"
"SRS075878_45.hgm"	"0.731255204399226"	"0.775749009778899"	"0.801447775757516"	"0.775749009778899"	"0.232935675497383"	"0.227671499137315"	"0.29722966043001"
"SRS076929_37.hgm"	"0.716794016825868"	"0.87922839468619"	"0.87922839468619"	"0.87922839468619"	"0.0619547096729965"	"0.0874735526937078"	"0.0966043929214138"
"SRS077502_20.hgm"	"0.327101731931193"	"0.333144888121915"	"0.901904844174619"	"0.333144888121915"	"0.337398851928117"	"0.442255124964865"	"0.472313662388952"
"SRS077552_27.hgm"	"0.992978380377505"	"0.985387767135839"	"0.985387767135839"	"0.985387767135839"	"0.412402803101861"	"0.468911119603016"	"0.513913011122372"
"SRS077849_38.hgm"	"0.0259535278062983"	"0.0932075678744513"	"0.196692559136919"	"0.0391339717719882"	"0.200161505587359"	"0.145866946970956"	"0.348614743486205"
"SRS098061_38.hgm"	"0.0406984379090766"	"0.201931458015538"	"0.254026495196452"	"0.0393424210227949"	"0.134645086696577"	"0.158237153397094"	"0.257024834819821"
"SRS098717_4.hgm"	"0.31981932116735"	"0.351763559810254"	"0.693203057719184"	"0.351763559810254"	"0.194287876366997"	"0.18804858418273"	"0.297127050369402"
"SRS104400_3.hgm"	"0.00167676786778352"	"0.00220422982028777"	"0.328242958760426"	"0.0128736404498188"	"0.167914213674132"	"0.192036207097329"	"0.326337940408896"
"SRS142712_3.hgm"	"0.492085104751201"	"0.670315527685458"	"0.468120041918579"	"0.468120041918579"	"0.342851324767852"	"0.359904000899045"	"0.431299177793116"
"SRS143991_10.hgm"	"0.145870547686088"	"0.172341759900285"	"0.834007299536911"	"0.266864392480474"	"0.0474778258859954"	"0.0299128684344675"	"0.0716774189583093"
"SRS144714_48.hgm"	"0.206782469120065"	"0.660549205201673"	"0.526269077979943"	"0.168591335756382"	"0.0766110645543885"	"0.0955928009584979"	"0.165470219051163"
"SRS147652_2.hgm"	"0.849010088000594"	"0.846450596876591"	"0.846450596876591"	"0.846450596876591"	"0.0192125764089734"	"0.0219436441442719"	"0.030125141754861"
"SRS1596777_76.hgm"	"0.896057613858189"	"0.816961321715391"	"0.816961321715391"	"0.816961321715391"	"0.0205206445362337"	"0.017797746838842"	"0.0598886072636413"
"SRS1596798_70.hgm"	"0.658504754370294"	"0.833643737334963"	"0.78241077696061"	"0.78241077696061"	"0.221048101149739"	"0.236654385370467"	"0.205997002711161"
"SRS1596798_81.hgm"	"0.227833958643641"	"0.277874093120398"	"0.277874093120398"	"0.583401814908655"	"0.0790671891993149"	"0.160546211963041"	"0.0692542413262695"
"SRS1596800_42.hgm"	"0.300229769348489"	"0.337147960062617"	"0.954501834398036"	"0.337147960062617"	"0.266605646121289"	"0.2087171255767"	"0.380630636356464"
"SRS1596807_67.hgm"	"0.0519789682070091"	"0.123649689581483"	"0.123649689581483"	"0.123649689581483"	"0.181478989022641"	"0.126382332974305"	"0.188185624475436"
"SRS1596842_68.hgm"	"0.161120209148646"	"0.276604916451095"	"0.276604916451095"	"0.272031972111328"	"0.0367564173191814"	"0.0395270186127009"	"0.106205265518742"
"SRS1596849_88.hgm"	"0.579765137156174"	"0.816197519017438"	"0.816197519017438"	"0.851607730352172"	"0.0342481995211739"	"0.104913088421926"	"0.111400679873195"
"SRS1596857_138.hgm"	"0.241744045348068"	"0.290814646113094"	"0.759462865379934"	"0.290814646113094"	"0.0205845235536895"	"0.0198054231557514"	"0.0612082462208714"
"SRS1596872_171.hgm"	"0.550884473528321"	"0.625483593616452"	"0.625483593616452"	"0.625483593616452"	"0.102839119938557"	"0.187939093010173"	"0.235944398818791"
"SRS1719091_5.hgm"	"0.696822551354794"	"1"	"0.893824635847767"	"0.893824635847767"	"0.0485999790715741"	"0.0469616507361637"	"0.0340655224811969"
"SRS1719444_21.hgm"	"0.635085931930752"	"0.931336013353411"	"0.741309341333645"	"0.741309341333645"	"0.164284407792983"	"0.199249950845631"	"0.229260699529376"
"SRS1719567_3.hgm"	"0.741230974679195"	"0.841246589678947"	"0.986000588918533"	"0.841246589678947"	"0.374420124821946"	"0.41720633334137"	"0.391895129885283"
